Part No,Description,Customer Name,U/M,Ship Qty,Unit Price,Unit Cost,Invoice Date,Year,Product Code,Salesperson,Type,Channel ,Month, Extended price
AF-183,"ASHOKA FRZ TIKKI PANEER WITH GREEN CHUT, 400g",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS/ 12,1,54,38.18571429,2/23/2022,2022,ADFF-AFS,TALHA KHAWAJA,Frozen ,Ethnic,22-Feb,54
AF-165,"ASHOKA FRZ TIKKI ALOO (JUMBO), 920g (12 Pc)",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS / 10,1,82.5,53.38928571,2/23/2022,2022,ADFF-AFB,TALHA KHAWAJA,Frozen ,Ethnic,22-Feb,82.5
AF-195,"ASHOKA FRZ TANDOORI NAAN GARLIC, 1020g (12 Pc)",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /8,10,48.001,37.30363429,2/7/2022,2022,ADFF-AFB,TALHA KHAWAJA,Frozen ,Ethnic,22-Feb,480.01
AF-120,"ASHOKA FRZ KATHI ROLL - PANEER SCHEZWAN, 300g",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /12,1,38,30.29142857,2/7/2022,2022,ADFF-AFS,TALHA KHAWAJA,Frozen ,Ethnic,20-Feb,38
AF-123,"ASHOKA FRZ MASALA VEGETABLE BURGER PATTIES, 300g (4 Pc)",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /12,1,60,37.62857143,2/7/2022,2022,ADFF-AFV,TALHA KHAWAJA,Frozen ,Ethnic,21-Feb,60
AF-166,"ASHOKA FRZ VEGETABLE CUTLET WITH FRN CHUT, 400g (12 Pcs)",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /12,1,66,38.09142857,2/7/2022,2022,ADFF-AFS,TALHA KHAWAJA,Frozen ,Ethnic,22-Feb,66
AP-002,"ASHOKA CHUTNEY GARLIC WITH OLIVE OIL, 285g",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /12,1,30,20.15217391,2/23/2022,2022,ADFD-CH,TALHA KHAWAJA,Dry,Ethnic,22-Feb,30
AP-004,"ASHOKA CHUTNEY MINT WITH OLIVE OIL, 285g",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /12,1,30,20.15217391,2/23/2022,2022,ADFD-CH,TALHA KHAWAJA,Dry,Ethnic,22-Feb,30
AP-021,"ASHOKA PICKLE MIXED IN OLIVE OIL, 300g",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /12,1,27,18.67695652,2/23/2022,2022,ADFD-PI,TALHA KHAWAJA,Dry,Ethnic,22-Feb,27
AP-015,"ASHOKA PICKLE GARLIC IN OLIVE OIL, 300g",1595645 ONTARIO INC. O/A SUBZI MANDI CASH AND CARRY,CS /12,1,27,16.78695652,2/23/2022,2022,ADFD-PI,TALHA KHAWAJA,Dry,Ethnic,22-Feb,27
